probe_id,GSM254625,GSM254626,GSM254627,GSM254628,GSM254629,GSM254630,GSM254631,GSM254632,GSM254633,GSM254634,GSM254635,GSM254636,GSM254637,GSM254638,GSM254639,GSM254640,GSM254641,GSM254642,GSM254643,GSM254644,GSM254645,GSM254646,GSM254647,GSM254648,GSM254649,GSM254650,GSM254651,GSM254652,GSM254653,GSM254654,GSM254655,GSM254656,GSM254657,GSM254658,GSM254659,GSM254660,GSM254661,GSM254662,GSM254663,GSM254664,GSM254665,GSM254666,GSM254667,GSM254668,GSM254669,GSM254670,GSM254671,GSM254672,GSM254673,GSM254674,GSM254675,GSM254676,GSM254677,GSM254678,GSM254679,GSM254680,GSM254681,GSM254682,GSM254683,GSM254684,GSM254685,GSM254686,GSM254687,GSM254688,GSM254689,GSM254690,GSM254691,GSM254692,GSM254693,GSM254694,GSM254695,GSM254696,GSM254697,GSM254698,GSM254699,GSM254700,GSM254701,GSM254702,GSM254703,GSM254704,GSM254705,GSM254706,GSM254707,GSM254708,GSM254709,GSM254710,GSM254711,GSM254712,GSM254713,GSM254714,GSM254715,GSM254716,GSM254717,GSM254718,GSM254719,GSM254720,GSM254721,GSM254722,GSM254723,GSM254724,GSM254725,GSM254726,GSM254727,GSM254728,GSM254729,GSM254730,GSM254731
214387_x_at,12.83044465,14.42839454,8.842684152,14.32827121,11.89630264,12.39951055,10.1552142,13.51628132,7.379175115,14.37922763,14.10142658,8.494965475,12.37335292,14.40694871,11.67393047,14.03222388,10.48121199,7.063336067,14.50421923,13.77124746,13.45347329,14.57980233,9.666093455,11.91693941,14.44417697,11.06313721,14.33127281,7.723402946,14.64092657,13.11952483,14.53262141,13.38016083,8.217831122,14.53787836,11.57781186,14.61409409,12.05099651,14.37937645,7.878582219,9.108457222,14.60398528,9.867503875,13.9129129,7.626789942,14.36472304,13.03477322,14.33074415,10.72780109,14.3562211,11.5543143,9.077677448,14.19594389,14.0813905,7.4368482,14.36185965,10.44207347,14.2330507,7.691449045,14.21027379,11.70832466,14.36826113,11.95870697,10.76157908,7.656325308,14.43302546,7.809828342,14.30850604,8.990980747,14.35287106,12.87489344,14.13094501,7.298853628,7.926190671,11.36365534,14.18070248,9.558866485,8.683632249,14.43755725,14.45108585,10.99973332,13.09093897,14.27917828,7.799961098,13.98954733,11.91674077,13.92945681,14.63068729,14.24364764,14.31920623,8.928353012,14.14333502,8.245774984,14.39878017,7.675932131,14.47842071,8.103755644,10.50900997,9.706984486,9.723688608,10.85658636,14.39601957,12.17307783,14.56065379,10.02093694,13.0840302,14.38733217,14.36113071
211735_x_at,13.29647112,14.70828299,9.149426029,14.50959215,11.95578398,12.59164778,10.45839415,13.50352842,7.94832302,14.65366213,14.36484556,8.471148639,12.86827379,14.66430841,12.09297607,14.48636257,10.6652693,7.392847339,14.73184897,14.05686935,13.74715934,14.69211921,10.214212,12.07758345,14.76230179,11.14520884,14.47779342,8.01696464,14.75817754,13.57691865,14.82864797,13.58107552,7.966561337,14.72529541,11.94402337,14.7355095,12.39196122,14.80924054,8.011154456,9.080279534,14.68481964,9.751187783,14.01146939,8.092713354,14.74326044,13.46199589,14.8622566,11.09180344,14.71367432,11.9995301,9.737234629,14.77744654,14.35372296,7.561087003,14.6722983,11.21443088,14.46034436,7.880794656,14.69191745,11.77110334,14.52693246,12.12795211,10.88015205,7.696016579,14.71271068,8.1608769,14.7079326,9.455755282,14.5560891,12.92790973,14.5015005,8.109704943,8.11133816,11.86594442,14.83379003,10.00772665,8.784549933,14.64867892,14.33985471,11.2378834,12.92241074,14.19429891,8.276683254,14.40314618,12.39461187,14.06023628,14.78455282,14.28996638,14.55049707,8.932958801,14.28210183,8.292921031,14.63560793,8.916100755,14.77596606,8.756108566,10.72605332,9.881302745,9.876201325,11.00514591,14.7457078,12.55725861,14.77154582,10.36729144,13.47030117,14.73080667,14.60188818
205982_x_at,13.21034066,14.61699744,9.293763972,14.53984641,11.84930093,12.18154614,10.42659835,13.52933442,8.042806922,14.68980184,14.32260707,8.488541588,12.76856922,14.59066168,11.7101301,14.4710772,10.7533769,7.689022104,14.77026349,14.0014686,13.50997676,14.59297175,10.22379829,11.92804485,14.78873576,11.07444168,14.44140069,8.065239731,14.7690287,13.46303858,14.64414657,13.54832418,8.397089075,14.64481537,11.83703006,14.68928735,12.30396872,14.62133732,8.43720348,9.099132189,14.63560842,9.607011237,13.89397127,7.939126369,14.64903111,13.36822993,14.65743773,10.93521449,14.69960683,11.80357055,9.646649253,14.6760411,14.08693205,7.236215723,14.60793186,11.14452836,14.38152192,7.728382366,14.6751196,11.57339072,14.45235964,11.94820494,10.90401332,7.540899764,14.6604791,8.043301362,14.75910692,9.315328825,14.47766164,12.76977905,14.48676392,7.776102969,7.995712425,11.72084147,14.74755439,9.803600295,8.768292837,14.50206009,14.42780701,11.277363,13.00252655,14.27220896,8.415183041,14.33771312,12.44569473,13.9399634,14.67139658,14.31089651,14.31159152,8.84346997,14.06365572,8.693898705,14.59556557,8.58604122,14.76229479,8.639196396,10.60701461,9.792825733,9.75687337,11.14739098,14.55352946,12.3048036,14.69886643,10.3468505,13.32825167,14.45770833,14.51248203
210081_at,8.938857271,12.76051032,6.236950082,12.17016179,6.766629139,7.719830681,7.101196718,10.06915962,6.411932638,10.68537706,12.14507533,7.41971238,8.944808897,11.0174357,8.146814261,11.27088146,6.685747996,6.593288507,12.79888208,11.00974535,9.178185076,12.6559834,7.208859981,6.97350455,12.78782682,8.071817724,12.0752222,6.712576727,13.22618782,8.180525189,12.9345263,10.64339099,6.278461217,12.63237385,7.543390003,13.06910914,7.819870357,12.86044045,6.88926,6.685123925,12.16632717,6.695042585,10.94083954,6.585297588,12.73281096,8.171248293,12.15960516,7.759076467,13.03748609,8.210002192,7.251408192,11.9795063,10.72321194,6.768387507,12.35869814,7.228421354,10.64975589,6.560791085,11.40578407,7.3386497,12.32035415,6.718040199,7.452107859,6.692223825,11.03336973,6.456124701,11.63679199,6.585482223,12.30500758,9.63968345,10.07582738,6.699969241,6.661076434,7.501212627,12.19013646,7.376908039,6.961248788,13.13661134,11.91467416,8.147582647,8.739463533,11.62244053,6.770951986,11.41233211,8.249301825,10.09765582,12.26599821,10.64910032,12.5235986,6.84004471,12.65784862,6.638242244,11.91233564,6.598863349,13.29792595,6.925050773,6.771235842,10.61400096,7.028995803,7.265589789,11.78489408,8.015221289,12.47187536,7.125061845,9.478139678,12.74041064,12.56269979
209875_s_at,12.05057494,7.824963839,10.71979692,6.971390415,11.59258449,10.10244956,11.12733,12.27376725,11.52260705,7.65937888,6.81738797,13.01259513,11.59981859,8.229329699,11.21106093,7.022259379,12.00519196,11.34191086,7.514881288,8.142947303,9.170962008,6.40772576,12.09630215,11.52823025,7.397186126,12.59076722,7.23828811,12.33393872,6.417708499,9.201310714,6.430000055,11.10666289,11.86943836,7.404735248,11.9115508,7.938899012,13.16649786,7.010433205,12.70651611,11.41018616,7.294331729,11.77905869,7.229010084,11.38507163,7.014811684,11.72112822,6.5792273,12.93593748,6.417413232,12.05959984,11.80973882,7.608888797,7.496933014,13.34023242,6.817841196,12.84056703,7.462453566,12.74269851,7.392793732,12.36625974,7.393709374,12.16080714,11.36891816,11.6144326,6.790764034,12.88836497,8.526551826,11.90671475,6.749566156,11.07339789,9.527479403,13.3183853,10.90563068,11.2101181,5.550601239,11.24087818,12.17258557,6.502140403,7.027090395,10.0310642,8.945150961,6.576236634,11.741793,6.491758039,10.10244516,8.300925693,6.917151149,7.047479664,7.388725528,11.31566098,7.458995712,12.5336199,7.161646258,12.90955336,6.123099658,12.87849652,9.735208969,10.46205578,10.89825617,13.31332361,6.920627297,11.71755763,5.901972938,12.32818111,12.24510288,6.990674063,7.080171753
205725_at,9.409865171,10.72677554,6.793948371,8.267276784,6.869681937,10.31801881,8.161769573,6.843726008,10.18576741,8.461742883,14.04737295,8.087947054,8.948523184,11.87783422,9.777586337,9.374060317,6.535250489,6.421266163,13.14704943,10.61984969,6.626544342,13.7926938,10.6502923,7.372046812,12.54054771,10.12301832,8.108672175,6.990038619,13.61813298,11.13030514,11.60317387,10.9175785,12.58826699,13.26389958,10.66551016,10.76958223,9.935049178,13.31475787,6.537941642,7.208433242,7.84352524,7.971288051,13.16936193,11.59189977,12.01572475,7.330419571,10.20961749,9.690880116,13.37233381,11.34927778,8.987411533,12.47464994,10.5467792,6.263679667,12.20649949,9.050834409,13.28625048,9.553651365,11.57823738,9.059357736,8.229875629,9.875700454,9.552563495,6.57914686,12.86320118,7.272618588,11.91564087,6.162702693,13.00182565,10.7452585,7.80472792,7.833819284,6.640442245,6.292857111,12.00733532,10.64032603,8.528933287,13.4815908,13.50717004,7.720618633,10.84324911,6.66408472,9.259731282,14.03063727,9.91058264,12.47579429,13.55186775,9.870046336,13.23432521,7.770307523,11.79663981,7.529767844,12.12046152,6.747324885,13.53845475,7.747406568,6.563231707,6.441448905,13.86018584,12.51783332,9.719717511,12.91121348,12.30874195,12.64868907,10.06389978,12.41160428,12.10946292
210096_at,8.949339062,11.57681274,5.260867771,11.2343915,10.13248892,8.054727834,7.867010291,9.993956006,5.956362805,11.19098222,11.12941904,5.845399734,7.195270576,9.396193846,6.559841386,10.94685432,7.644304319,4.706739421,11.22968886,8.152771461,6.087357696,11.50426404,6.565922939,10.23217704,11.2945379,7.31140796,10.51019249,4.72141689,10.71596974,10.54575152,11.15351704,9.060568092,6.284512626,11.17757155,9.278421719,11.09406395,9.739395954,11.14107928,9.187092492,5.731433466,11.36366171,5.430890168,9.726914586,6.754780419,11.65327971,7.507151785,10.37683616,6.984445769,11.52975752,8.084825064,5.692859486,10.68098971,8.987415058,5.193467407,10.25276035,5.914977901,11.22989045,6.138573839,11.09754972,6.903621133,11.06599626,6.064864234,7.125817486,5.673639143,11.52955862,5.022597237,11.00448707,5.504884882,11.26197152,9.621921986,10.34629362,4.370211115,6.515428122,6.887485657,10.93804832,5.244672929,10.3316062,11.49884353,10.88728947,6.371378959,8.848776666,11.09529763,4.782291595,10.84837108,8.090297769,10.31136523,10.43509431,8.738638767,10.27476019,5.100483718,10.0697307,5.077340285,10.97735215,7.51525437,11.18408644,8.428354892,5.688024814,5.094014282,10.46487096,8.53134627,10.39196959,11.41910724,10.70558283,5.177206889,7.856781903,11.05021443,10.93633529
204712_at,8.210961345,11.42866449,4.076480189,10.51433177,5.687929044,8.008415463,5.034324469,9.328655735,5.293245223,7.930647334,9.974518562,5.227673314,7.743065159,9.724906674,6.940449822,8.792492535,4.883723177,4.330627416,10.84586658,9.804906305,7.063859805,10.63833381,4.879981256,9.333044953,11.26538728,5.895989357,8.950355868,5.078406288,10.73455327,9.757999778,9.878165021,7.79342843,5.196546464,11.33772141,5.831853073,10.32640541,6.315967356,9.584125013,5.354488604,4.738094334,8.556335081,5.334270813,9.939161972,4.856919996,9.611288761,6.204147116,10.53750532,6.348865902,9.565347702,5.143069347,7.0192014,9.738589655,9.433402673,4.902921173,8.782522372,6.150694648,11.07739909,4.527713634,10.75294382,7.021335381,10.54030303,4.954679343,8.696813073,4.61336512,10.25833034,5.06119194,10.02928788,4.983673538,10.51384637,7.461985941,9.844055164,4.229519146,4.388325197,4.491156064,10.1955464,5.513810648,4.506692758,10.19938385,10.35705701,6.011983756,7.666011815,9.707349623,4.973355332,9.892208088,8.674116692,10.02016159,11.09007229,10.64187474,10.55838423,9.488012279,9.272179651,4.542618361,9.035312635,7.578554854,10.04591928,6.16318897,10.25900243,8.619892686,6.270440519,6.781339822,8.750367646,10.46161557,10.01410411,4.932849987,7.466531941,10.51264232,10.26942391
215454_x_at,8.906810177,11.45000869,5.767177176,11.16484835,7.278176469,7.543686761,6.354304438,9.445069473,5.918339089,10.90945078,10.48166268,6.032619859,9.014783864,11.37709225,7.826920465,10.92735129,6.908764877,5.675943081,11.28983021,9.587447598,9.22446121,11.60230584,6.202006997,7.58792568,11.36017156,6.904706489,11.13942809,5.655944696,11.41795524,9.481311348,11.57105501,9.11387439,5.984456981,11.31764101,7.835881327,11.59383562,8.004323703,11.24046642,5.638476523,6.117438525,11.31350564,5.848663401,10.08270319,5.443000267,11.2463203,9.621046836,11.57387835,6.523744118,11.20131965,7.857004808,6.175374136,11.45972851,9.835344537,5.370752937,11.232156,6.935067916,10.67168559,5.512538403,11.38646358,7.373579883,10.56288187,7.46537467,7.966858646,5.130612354,11.39458119,5.462660322,11.341923,6.071093532,11.08175557,8.753443305,11.30876638,6.106612011,6.328507691,8.060357416,11.56598692,6.879620868,5.306059937,10.96656048,11.02240074,7.062732314,9.128369282,10.88009759,5.097759619,10.79313458,8.188216863,10.26999987,11.43422866,10.35295303,11.11503704,5.863869079,10.38982023,5.376702539,11.07611854,6.163190787,11.25719692,6.56551812,6.92868546,6.529144155,6.241474658,6.999646906,11.63918446,8.583235315,11.23687538,7.048545258,8.750266012,10.98245335,11.56001949
206239_s_at,11.04457465,6.182895961,9.144319715,6.195000094,6.187036893,12.47445661,7.10935538,7.359001288,7.037739637,6.373177144,6.064902597,11.17023224,7.080290832,7.283800839,11.41267293,6.151509161,11.1154667,10.80128718,6.486232458,6.213234377,12.62898218,6.203481967,7.730813701,12.26680635,6.395485993,8.68361921,6.42324506,13.11165686,6.403419638,11.6976616,6.50849363,6.082342565,11.66859593,5.940533792,8.722397682,6.361088441,9.953853433,6.100291746,10.77501973,11.67794793,7.252751005,6.503586059,6.498059383,7.414554018,6.193129373,10.39441007,6.077176819,8.334006402,6.176399175,11.76081432,9.104826264,6.591088702,6.242969432,11.6685752,7.238026437,10.09224226,6.423951388,6.472064734,6.576032638,7.077730748,6.268431477,8.143083792,10.26705507,7.70812413,6.146375509,10.43552652,6.722796601,6.6154515,6.118471714,7.694793825,6.834501195,10.53906919,6.55353612,6.234810148,6.077055558,6.369000138,10.8377209,6.368365443,11.762327,12.76840592,13.10967657,6.831550465,9.985915936,6.595243833,8.429248429,6.976349643,6.157215286,9.785210735,6.441660043,13.86886188,7.224500134,7.620593026,6.220150183,7.559190595,6.209048715,6.081246786,12.55480325,7.454702062,8.236209424,9.782439667,6.164451022,10.86315412,6.267126658,7.401055913,8.149994761,6.21640904,6.091709438
209613_s_at,8.575124864,11.07143755,4.790191513,11.05128784,8.135492868,8.491736303,5.26569875,7.479571709,4.483557004,10.37521887,10.4296352,5.078167674,7.697508823,10.2136502,4.960913586,10.61126313,6.038490823,4.619939042,10.32328382,10.8396903,8.518873451,10.83077302,5.796525722,9.727016146,11.25079913,8.365791258,10.8614997,6.2689825,10.98917717,8.281503455,9.732722856,8.752793577,8.000244337,10.86569524,7.528473193,9.993901676,9.297678866,10.48587819,4.507504431,4.750940501,10.48752047,7.214080223,10.53152504,7.10411505,10.7360536,7.18354544,10.68305627,6.668966672,10.35537985,6.330945603,5.416912395,10.79381043,10.01088462,4.710851662,10.78279572,6.169419784,11.78330707,4.718703897,11.04011594,4.787868431,10.23677356,7.534596504,7.638432169,4.95766048,11.2836014,4.976449672,10.38164173,6.183629609,11.37277107,8.842988568,9.151875616,6.543525482,4.417447489,6.226053606,10.57254878,4.729714565,7.113451633,10.50371675,10.27495832,6.20095237,9.251354726,10.68116292,7.354120174,10.71520519,8.541063493,10.21938097,10.14916483,9.590085126,10.41999439,8.800436354,10.46589713,8.794111011,10.4353695,7.654445519,11.00766111,6.38100148,4.701338136,6.271058233,10.11836716,5.974098965,9.635550982,9.688581767,10.23045586,7.907997004,8.812729134,10.94768657,9.879954557
203980_at,8.898654706,11.92257796,5.866937665,10.97347092,5.931799936,7.775933607,6.342760282,7.660459189,6.750303429,11.43866304,10.68779011,6.391223696,8.639845038,11.0138782,7.756806161,11.10554655,6.463028621,6.522794743,11.61567071,9.150358059,8.034805074,11.10812396,5.805520829,6.933978308,11.49524546,6.654114846,11.77491167,7.744603945,11.59261805,7.381229884,12.0750797,8.94708051,6.373024499,11.22676011,7.069240453,11.60293541,6.9047006,11.43797766,6.587216499,6.432157016,11.37384997,7.548246342,10.61534262,6.524619362,11.64366349,7.367046922,10.85639086,10.22882672,11.65148473,6.336796433,6.581292962,11.73624958,10.20558293,6.720670328,11.15236456,7.24284095,11.21168477,6.963528797,12.19890221,7.273160642,10.34518147,7.938560769,7.645512733,6.408252314,10.36033626,5.91629855,11.30983153,6.507436368,10.59686894,7.532871986,8.452365547,6.209464263,5.873372236,6.771347369,11.21960329,10.18654983,7.882913763,11.08476295,11.67845839,7.452401973,7.241520687,11.49113847,6.551343358,10.29197561,8.052623076,10.60048809,12.29320032,8.142101286,10.56332311,6.658558982,10.72703147,7.534745702,11.02415154,7.03276664,11.34549543,7.323579445,5.873615662,5.728433186,9.83162627,6.31119869,11.33976905,8.455947151,11.69062018,6.58397866,9.250586494,11.22524778,11.63727547
219230_at,7.696954939,12.02504741,6.117667712,11.98350318,6.288795109,6.125967305,6.331726821,9.294606316,7.060958833,10.57242993,9.915716737,5.724338036,7.912371977,9.858965454,6.14939195,10.0971623,8.023988153,6.017186756,11.34159128,11.43618861,6.997989686,9.674847795,6.809770068,6.554570905,11.2341667,6.976088018,7.849312977,5.96294032,10.01197365,7.437601712,11.11409561,9.385992753,7.030672179,11.33176557,7.270299175,10.94919814,6.639467556,11.25992728,5.898228941,6.273140583,11.53368011,10.30290018,10.21431416,6.926215584,11.29126112,7.027788187,10.1586116,6.364510636,11.54257665,6.459994621,5.893569913,10.93801088,7.353388144,5.466813463,10.98077137,5.824200798,11.50512234,5.929189237,11.19117587,6.282328144,11.45057946,10.78400348,6.82326913,6.427104799,11.5442433,6.289657393,11.45717899,6.298368509,11.04453195,7.327336077,8.735602585,6.161515882,5.945821216,5.894149847,10.75216516,5.96063867,8.56686637,11.42549426,9.223318255,5.81688923,8.661331793,10.12244366,6.263199255,8.911185904,8.588633716,8.689255371,8.155336804,10.61578712,10.67978022,6.435383162,11.76910958,9.291021772,9.404915793,5.976693416,11.33319111,5.745349309,6.465301277,6.582069793,6.743064128,5.995354478,9.425989956,7.619890617,11.21137715,7.558384443,7.73973912,11.37219179,10.7829298
204475_at,7.432078916,4.629912265,5.591783247,4.802915156,4.479844943,6.82934869,4.975770549,5.414632639,7.383730977,4.664887491,4.725386058,8.364296917,9.640179791,5.299026137,6.881506822,4.57251572,4.916076487,5.177784164,6.898504992,4.65919718,11.2843213,4.613961169,8.387084013,4.714829526,4.752890573,10.39680097,6.571529178,9.762649291,4.92784331,5.657822172,4.38635541,9.81084829,10.30476296,4.466028412,5.481125536,4.685509193,11.68769575,4.444253403,7.126488565,7.104831114,5.400737491,8.258604003,5.193494342,7.732611415,4.641715741,11.00716711,4.591409707,7.364690857,4.414056595,8.990695852,8.448110659,6.416184388,4.877966343,9.291643544,4.82933019,6.946358362,4.633398052,11.81810595,5.74939897,9.243645061,5.058996663,7.424243064,10.53902592,12.4890455,5.10535691,10.52720667,5.192064912,7.589646076,4.677228653,6.095005011,4.754883047,9.809741845,7.599246844,5.357351619,4.441639909,11.56719438,5.801421725,4.636872617,4.594523377,5.811483921,8.795001936,5.9195063,7.371613178,4.577430526,7.156128582,6.215127008,4.759572608,4.879491035,4.99462657,7.882306588,4.875137064,7.60677221,6.311694339,5.936552971,4.407510434,6.96256109,6.887436301,6.747662369,4.975175572,6.805461555,5.104837617,7.463742288,4.651564334,7.232050319,5.498385192,4.544185948,4.596161345
38691_s_at,14.60074169,15.08117792,10.85721617,15.02208475,13.63714761,14.06527903,12.40411338,14.82852635,8.718863926,15.11188187,14.97414518,9.834255736,14.11502596,15.1608616,13.43010783,15.08187735,12.65858321,8.708494536,15.2336925,14.93201642,14.72043791,15.24822482,11.6575915,13.75145633,15.14405828,13.14592471,15.10929472,9.694444932,15.19432772,14.70853781,15.11679632,14.61092033,9.879711856,15.13835069,13.38693101,15.20834341,14.09551038,15.10969418,9.646190682,11.35900904,15.1286351,12.02655955,14.84012735,9.593545943,15.20187259,14.47007622,15.12418538,12.89382055,15.10480308,13.57051774,11.58191344,15.09376262,14.88120702,8.87563502,14.94319907,13.00864946,15.16977554,9.378005019,15.05641909,13.21101542,15.07919976,13.58593162,12.28774408,9.696350985,15.23193589,9.755516188,15.1662414,11.08509974,15.04434718,14.21197504,15.05707323,8.841829934,9.174180053,13.19956224,15.11152566,11.46083026,10.84539998,15.01251103,15.12429465,13.25542813,14.30646998,15.1117794,9.897461739,15.05929659,14.34888191,14.93627063,15.14387698,14.96178063,15.10647608,10.96689507,14.96428844,10.04389589,15.11457907,10.19603675,15.12457174,10.21971212,12.60566501,11.49393918,11.47904996,12.7416534,15.10592719,14.2086852,15.20231612,12.03925124,14.49226201,15.14215371,15.03093378
201909_at,11.90000671,11.99782937,9.585760769,11.89634687,7.419096902,11.37819421,11.65149195,12.02486084,11.46575868,11.26627549,7.424063711,7.098518035,7.496129572,7.20502556,7.417617806,7.205664856,10.15845713,7.260985067,11.98805095,11.49516939,10.81223275,12.14094214,10.55416002,7.562695514,7.266535401,7.16410408,7.513869271,7.627034523,6.72887417,7.45556899,11.88246829,7.702543323,11.01419191,7.538063513,7.391591963,7.272988379,7.547808045,11.86708267,11.0277881,12.03044561,7.734779028,11.47223788,11.53742996,10.90108264,12.18951426,11.98081663,12.01466507,7.000006787,12.1885422,11.07113247,12.0518286,11.89531639,11.25702252,11.37001841,11.61213325,7.324617703,7.591385821,10.96237283,12.01485217,11.09856904,11.59566456,7.658832051,10.15153912,12.65862489,12.23735025,12.15887572,7.188353874,7.539432165,7.339838751,7.545989427,7.425831585,11.80698046,9.302802505,7.773791101,11.94895542,7.400641692,8.314523942,7.355611505,11.7473882,11.42624865,12.12986972,11.73407556,12.1084019,11.93302817,10.9924672,12.28260162,11.64470519,11.26270531,11.27755962,11.00713558,11.44038119,7.175844694,11.68487423,7.679373778,7.481793174,11.62505789,12.33506868,11.43567969,11.94526202,9.582393148,11.78291977,11.98106668,12.03995577,7.198349542,11.22408545,11.85611148,11.77283847
